Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/28/14 6:08,9/28/14 6:11,14.2624,3.02139,0.825841,0.199508,0.0183412
9/28/14 6:16,9/28/14 6:19,14.2074,3.0074,0.860444,0.209458,0.0259919
9/28/14 6:24,9/28/14 6:27,14.4681,2.9647,0.905259,0.251539,0.0275389
9/28/14 6:32,9/28/14 6:35,14.0038,3.15326,0.917757,0.274787,0.032945
9/28/14 6:40,9/28/14 6:43,14.8652,3.13912,0.906452,0.319876,0.0372615
9/28/14 6:48,9/28/14 6:51,13.9592,3.01014,0.925135,0.325994,0.0480575
9/28/14 6:56,9/28/14 6:59,14.8046,3.10033,1.03891,0.444868,0.0644909
9/28/14 7:04,9/28/14 7:07,14.8588,3.14226,0.991596,0.40174,0.0544901
9/28/14 7:12,9/28/14 7:15,14.9966,3.02248,0.972723,0.438924,0.0559559
9/28/14 7:20,9/28/14 7:23,15.5763,3.29785,1.03902,0.484308,0.0573563
9/28/14 7:28,9/28/14 7:31,14.1103,2.99182,0.873832,0.284539,0.031124
9/28/14 7:36,9/28/14 7:39,13.765,2.8624,0.872401,0.278348,0.0361436
9/28/14 7:44,9/28/14 7:47,15.214,3.1011,0.964176,0.439748,0.0598741
9/28/14 7:52,9/28/14 7:55,15.3182,3.0211,0.982895,0.485998,0.065826
9/28/14 8:00,9/28/14 8:03,14.5364,2.94107,0.914171,0.374193,0.0509045
9/28/14 8:08,9/28/14 8:11,14.8263,2.97849,0.912482,0.277353,0.0311213
9/28/14 8:16,9/28/14 8:19,15.548,2.9008,0.8942,0.279993,0.0328754
9/28/14 8:24,9/28/14 8:27,15.87,2.88792,0.858245,0.271932,0.0319767
9/28/14 8:32,9/28/14 8:35,17.4232,3.11788,0.924628,0.283316,0.0294882
9/28/14 8:40,9/28/14 8:43,17.5484,2.91083,0.886664,0.271942,0.0353785
9/28/14 8:48,9/28/14 8:51,15.0078,2.6681,0.809447,0.232303,0.0239058
9/28/14 8:56,9/28/14 8:59,15.0138,2.93798,0.870685,0.224544,0.0299437
9/28/14 9:04,9/28/14 9:07,14.5958,2.7428,0.810856,0.241846,0.0317638
9/28/14 9:12,9/28/14 9:15,14.1891,2.77287,0.832748,0.238737,0.0258043
9/28/14 9:20,9/28/14 9:23,14.5737,2.92941,0.884864,0.27233,0.0351076
9/28/14 9:28,9/28/14 9:31,14.0323,2.82257,0.853026,0.259273,0.0353826
9/28/14 9:36,9/28/14 9:39,13.5604,2.66717,0.805427,0.212841,0.0300059
9/28/14 9:44,9/28/14 9:47,13.8359,2.82019,0.873929,0.21572,0.0286303
9/28/14 9:52,9/28/14 9:55,13.4612,2.61004,0.80215,0.206953,0.0247996
9/28/14 10:00,9/28/14 10:03,13.5712,2.76199,0.799134,0.198136,0.0247993
